ID,ID2,Item Title,Final URL,Image URL,Item Subtitle,Item Description,Item Category,Price
"Chevrolet Equinox","2GNALDEK6G6283512","2016 Chevrolet Equinox","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Equinox-FWD_LTZ-Austin-TX/2960510403","http://inventory-dmg.assets-cdk.com/9/2/4/14131862429.jpg","Equinox","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","28000 USD"
"Chevrolet Impala Limited","2G1WB5E33G1181798","2016 Chevrolet Impala Limited","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Impala_Limited-LT-Austin-TX/2973248543","http://inventory-dmg.assets-cdk.com/6/5/4/14336112456.jpg","Impala Limited","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Malibu","1G1ZB5STXGF225791","2016 Chevrolet Malibu","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Malibu-LS-Austin-TX/2950557923","http://inventory-dmg.assets-cdk.com/5/6/8/14101856865.jpg","Malibu","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Silverado","3GCPCREC7GG256137","2016 Chevrolet Silverado","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Silverado_1500-Crew_Cab_Short_Box_2_Wheel_Drive_LT-Austin-TX/2979797803","http://inventory-dmg.assets-cdk.com/6/6/3/14336114366.jpg","Silverado","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","35000 USD"
"Chevrolet Silverado","3GCPCSEC4GG299146","2016 Chevrolet Silverado","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Silverado_1500-Crew_Cab_Short_Box_2_Wheel_Drive_LTZ-Austin-TX/2952028023","http://inventory-dmg.assets-cdk.com/2/4/0/14246986042.jpg","Silverado","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","39000 USD"
"Chevrolet Silverado","1GC1KWE88GF296618","2016 Chevrolet Silverado","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Silverado_2500HD-Crew_Cab_Standard_Box_4_Wheel_Drive_LTZ-Austin-TX/2970693043","http://inventory-dmg.assets-cdk.com/6/3/3/14301414336.jpg","Silverado","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","61000 USD"
"Chevrolet Suburban","1GNSCGKC6GR344719","2016 Chevrolet Suburban","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Suburban-2WD_1500_LS-Austin-TX/2980136133","http://inventory-dmg.assets-cdk.com/3/1/2/14365842213.jpg","Suburban","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","42000 USD"
"Chevrolet Suburban","1GNSCHKC3GR218369","2016 Chevrolet Suburban","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Suburban-2WD_1500_LT-Austin-TX/2950557933","http://inventory-dmg.assets-cdk.com/7/1/3/14101858317.jpg","Suburban","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","40000 USD"
"GMC Sierra","1GTN1LEC9GZ901476","2016 GMC Sierra","http://www.capitolchevy.com/VehicleDetails/certified-2016-GMC-Sierra_1500-Regular_Cab_Long_Box_2_Wheel_Drive-Austin-TX/2977415743","http://inventory-dmg.assets-cdk.com/9/4/3/14309875349.jpg","Sierra","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","26000 USD"
"Chevrolet Spark","KL8CB6SA2HC704283","2017 Chevrolet Spark","http://www.capitolchevy.com/VehicleDetails/certified-2017-Chevrolet-Spark-Hatch_LS_%28Automatic%29-Austin-TX/2984736873","http://inventory-dmg.assets-cdk.com/8/3/0/14392788038.jpg","Spark","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","13000 USD"
